match_id,game_id_opta,event_id,team_id,team_name,opponent_team_id,opponent_team_name,period,period_second,match_second,match_minute,minute_bin_5,player_id,player_name,metric_unit,zone,third,channel,x,y,end_x,end_y,x_oriented,y_oriented,end_x_oriented,end_y_oriented,event_type,outcome,phase,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level,is_box_entry,is_final_third_entry,is_progressive,is_set_play,order,threat_value,xg
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,ecb7df9e-67cc-55c4-a310-91a70ee97fab,569,FCK,1000,FCM,1,42,42,1,0,457214,G. Onugkha,count,middle_third,middle_third,central_channel,-1.23,-0.96,41.91,-4.85,-1.23,-0.96,41.91,-4.85,run_start_loc,,,box involvement,FCK box involvement at minute 1.,Chance Creation & Final Third,pitch scatter map,high,true,true,false,false,58,0.15,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,a92a32a3-8797-532f-bac3-f6b2d32a4451,569,FCK,1000,FCM,1,43,43,1,0,232398,N. Trott,count,defensive_third,defensive_third,central_channel,-36.89,-0.69,23.09,10.36,-36.89,-0.69,23.09,10.36,pass,shot,,final-third entry,FCK final-third entry at minute 1.,Territory & Control,pitch scatter map,medium,false,true,true,false,59,0.07,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,6cc6dbd6-e07e-511f-83fe-f79f945b4ebe,569,FCK,1000,FCM,1,43.04,43.04,1,0,,,count,defensive_third,defensive_third,central_channel,-36.14,10.43,38.41,17.9,-36.14,10.43,38.41,17.9,loss,,progression,final-third entry,FCK final-third entry at minute 1.,Defensive Behaviour & Transitions,pitch scatter map,high,false,true,false,false,60,0.07,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,f54cef3c-e277-5c18-87a1-0104cefe844c,569,FCK,1000,FCM,1,44.72,44.72,1,0,,,count,middle_third,middle_third,central_channel,11.5,2.17,35.42,8.68,11.5,2.17,35.42,8.68,defender_dribbled,defender_dribbled,,final-third entry,FCK final-third entry at minute 1.,Territory & Control,pitch scatter map,medium,false,true,false,false,70,0.05,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,f9c7ed8a-565c-53a1-ae8f-b1a35aad2c18,569,FCK,1000,FCM,1,46.2,46.2,1,0,546545,E. Achouri,count,attacking_third,attacking_third,right_channel,26.76,17.93,38.41,17.9,26.76,17.93,38.41,17.9,shot,shot,,shot attempt,FCK shot attempt at minute 1.,Chance Creation & Final Third,pitch scatter map,high,false,false,false,false,79,0,0.078
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,97b421bd-53b8-5b0b-9e36-783a6fe51261,569,FCK,1000,FCM,1,47.64,47.64,1,0,546545,E. Achouri,count,attacking_third,attacking_third,central_channel,34.2,10.32,52.63,-1.37,34.2,10.32,52.63,-1.37,shot,off_target,,shot attempt,FCK shot attempt at minute 1.,Chance Creation & Final Third,pitch scatter map,high,true,false,false,false,83,0.078,0.078
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,00c6f604-0ba3-529a-9503-9a52bc12c151,1000,FCM,569,FCK,1,66.72,66.72,2,0,,,count,attacking_third,attacking_third,central_channel,-35.77,11.77,-44.8,14.87,35.77,11.77,44.8,14.87,completed_pass,completed_pass,,box involvement,FCM box involvement at minute 2.,Chance Creation & Final Third,pitch scatter map,high,true,false,false,false,93,0.1,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,1b7024ec-8248-5e99-a00e-45cc50ffcc90,1000,FCM,569,FCK,1,66.72,66.72,2,0,,,count,attacking_third,attacking_third,central_channel,-48.71,0.15,-15.12,29.7,48.71,0.15,15.12,29.7,recovery,turnover,goal_kick,box involvement,FCM box involvement at minute 2.,Chance Creation & Final Third,pitch scatter map,high,true,false,false,false,94,0,0
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,c1c1903e-91f6-532b-bd2e-1826e688431b,569,FCK,1000,FCM,1,66.72,66.72,2,0,,,count,attacking_third,attacking_third,central_channel,53.63,10.79,18.4,-9.28,53.63,10.79,18.4,-9.28,start_loc,,organisation,box involvement,FCK box involvement at minute 2.,Chance Creation & Final Third,pitch scatter map,high,true,false,false,false,98,0,0
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,16f55c05-ae20-5f3f-8e03-8cea1387a68c,1000,FCM,569,FCK,1,66.72,66.72,2,0,430901,E. Olafsson,count,attacking_third,attacking_third,central_channel,-48.71,0.15,-48.68,10.46,48.71,0.15,48.68,10.46,pass,reception,,box involvement,FCM box involvement at minute 2.,Chance Creation & Final Third,pitch scatter map,high,true,false,false,false,99,0,
