match_id,team,player_id,player_name,period,zone,channel,metric_name,player_frame_count,occupation_share,team_density_share,avg_x_oriented,avg_y_oriented,confidence_level
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,477672,A. Simsir,1,attacking_third,left_channel,spatial_occupation,16470,0.171404,0.021682,33.6595,-23.0827,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,228044,M. Bech,1,middle_third,left_channel,spatial_occupation,7179,0.049558,0.009451,-7.2225,-21.2327,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,166965,L. Lerager,1,defensive_third,left_channel,spatial_occupation,3146,0.021718,0.004142,-27.0891,-19.8811,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,512627,G. Gocholeishvili,1,defensive_third,left_channel,spatial_occupation,10827,0.08595,0.014253,-31.4755,-23.3702,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,494784,Oliver Sorensen,1,middle_third,left_channel,spatial_occupation,5710,0.039417,0.007517,-1.6349,-18.9601,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,551144,Franculino Dju,1,attacking_third,left_channel,spatial_occupation,3012,0.023333,0.003965,25.0162,-20.8901,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,457214,G. Onugkha,1,middle_third,left_channel,spatial_occupation,4741,0.032728,0.006241,5.4271,-21.1395,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,609108,O. Diao,1,middle_third,left_channel,spatial_occupation,1494,0.010313,0.001967,-11.8581,-15.8519,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,433957,M. Mattsson,1,middle_third,left_channel,spatial_occupation,7526,0.068115,0.009908,0.9801,-18.8479,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,1,attacking_third,left_channel,spatial_occupation,817,0.00564,0.001076,23.3984,-20.4688,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,533646,D. Osorio,1,attacking_third,central_channel,spatial_occupation,13521,0.098428,0.0178,28.982,4.1366,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,68640,T. Delaney,1,defensive_third,central_channel,spatial_occupation,20612,0.142289,0.027135,-35.0229,0.484,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,1,attacking_third,central_channel,spatial_occupation,11233,0.077544,0.014788,29.9252,-1.433,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,1,defensive_third,right_channel,spatial_occupation,6738,0.05354,0.00887,-33.2829,18.3274,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,533646,D. Osorio,1,attacking_third,right_channel,spatial_occupation,5907,0.043001,0.007776,31.2797,22.2902,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,166965,L. Lerager,1,defensive_third,central_channel,spatial_occupation,22593,0.155964,0.029743,-35.0725,-1.3312,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,193228,K. Diks,1,middle_third,right_channel,spatial_occupation,20576,0.142041,0.027087,-4.9051,21.9961,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,204164,J. Andersson,1,middle_third,central_channel,spatial_occupation,17784,0.122767,0.023412,1.98,-6.2689,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,433957,M. Mattsson,1,middle_third,right_channel,spatial_occupation,6578,0.059535,0.00866,2.8939,19.0433,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,96787,M. Elyounoussi,1,middle_third,central_channel,spatial_occupation,17057,0.130317,0.022455,1.2456,-3.841,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,551144,Franculino Dju,1,attacking_third,right_channel,spatial_occupation,2690,0.020838,0.003541,29.9408,20.5637,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,494784,Oliver Sorensen,1,middle_third,right_channel,spatial_occupation,7237,0.049959,0.009527,-2.3555,19.0869,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,477672,A. Simsir,1,middle_third,central_channel,spatial_occupation,15294,0.159165,0.020134,1.6839,-6.4265,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,68640,T. Delaney,1,defensive_third,right_channel,spatial_occupation,3232,0.022311,0.004255,-29.354,21.0177,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,477672,A. Simsir,1,attacking_third,central_channel,spatial_occupation,8731,0.090864,0.011494,32.7968,-9.8346,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,457214,G. Onugkha,1,attacking_third,central_channel,spatial_occupation,16194,0.111791,0.021319,35.5274,-0.8896,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,546545,E. Achouri,1,attacking_third,central_channel,spatial_occupation,11904,0.108091,0.015671,32.9909,4.9947,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,609108,O. Diao,1,defensive_third,central_channel,spatial_occupation,18526,0.127889,0.024389,-36.7698,3.3174,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,120721,K. Mbabu,1,defensive_third,central_channel,spatial_occupation,10573,0.072988,0.013919,-36.708,4.3882,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,228044,M. Bech,1,defensive_third,central_channel,spatial_occupation,19346,0.13355,0.025468,-35.9281,-1.0044,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,1,middle_third,central_channel,spatial_occupation,19383,0.154018,0.025517,-6.0091,2.7042,high
