match_id,game_id_opta,team_side,team_id,team_name,player_id_opta,player_id_ssi,player_name,shirt_number,position,opta_uuid
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,96787,2b434175-d91b-455e-8f83-f33eb4e2f8cd,M. Elyounoussi,10,RW,6tckvu2rw7ns18dq7dim0sout
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,166965,ac92affe-b2d0-4254-aafe-60576a141c6f,L. Lerager,12,RDM,al9l7egkwbc0pv68zk42gegut
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,535944,f9a3e685-e97a-4150-8b5e-710949c6e3ba,R. Huescas,13,SUB,6b8vhoisrfwkljhz4u7pduej8
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,114517,0e9181b9-3ec4-46d2-a5f4-15b69c1ca531,A. Cornelius,14,SUB,7hw1plnv7nvxnqpnfnxcxszpx
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,622714,a3b3f8cd-dee1-471d-b4f2-43584da69ca3,Robert,16,SUB,bbezbukg20q5b6kfnjuzhs55g
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,590186,33839354-c3d9-4a48-b710-e3fcc87ec20e,V. Froholdt,17,SUB,c9u2w9ikckbrra8vln2ucbf9w
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,232398,70e97450-80fc-41ce-89a4-e50066ad1247,N. Trott,1,GK,ckhhpn9ppgvlrtubf7li3se09
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,512627,3309a8ce-fd15-4862-9f8d-f316300bbde1,G. Gocholeishvili,22,RB,9ic9msq3tj4gx8wqa6wfwk50q
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,68640,ea3fa1d1-5b4f-4e0d-9d46-877d19f94fc5,T. Delaney,27,LDM,4gqnyyx3i92fayq6cxvekqwut
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,193228,f0858ff8-62d3-45e4-b393-790dd46bc7a4,K. Diks,2,LB,7xc0qldxpidl07vij2wgu1sk5
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,546545,d489a14f-dc3f-41ca-a20d-a8caeb171dfe,E. Achouri,30,LW,ssluj1c3ft94nkfs58dc8cq2
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,115918,9668e84f-5374-46f6-b281-7302a136a930,R. Runarsson,31,SUB,quh8tfvwi106toymoh38tbrp
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,592864,472a6f34-3361-4f6b-95de-6a06a4ad6875,O. Hojer,38,SUB,8jyfsal0lbf0ia92axymn2l1w
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,590187,30910583-8bca-4a01-8de1-96d44de68c05,A. Chiakha,45,SUB,823p7p1amx8lp445bo6bi01lg
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,572146,df960c23-a4b0-44c2-8fdd-7aa99fe883e5,M. Garan'anga,4,SUB,ajjw1ikceu3g39sy6dsf9kdg4
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,475413,0d3a3ae6-4965-4638-86a7-0a02245556ce,Gabriel Pereira,5,RCB,4cbaoo2irqtme9goxuz6s3ey2
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,220246,789f953e-5e94-4e51-a935-27741eab3c10,P. Hatzidiakos,6,LCB,ayqy2vql1oumokqly9ahfrnx1
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,111756,b530b1d0-a694-4f50-bbc7-0468dab6b7df,V. Claesson,7,SUB,8g4r9maz4invihjmdzpfxy0np
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,433957,ddb3721a-a769-4982-aa36-d6767fde1a44,M. Mattsson,8,CAM,8inyievyp1az6q3dtlkpynf56
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,away,569,FCK,457214,c83a74c3-4259-4a9f-a9be-ab016530630f,G. Onugkha,9,ST,babnrlnt04mal0268p9dxas8a
