match_id,team,player_id,player_name,metric_group,metric_name,metric_value,metric_unit,percentile_within_team,rank_within_team,interpretation_label,insight_text
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,492474,Lee Han-Beom,Participation,minutes_played,4.994,minutes,27.5,15,around team median,Lee Han-Beom ranks 15 within FCM for minutes played (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,568414,M. Kruger-Johnsen,Participation,minutes_played,0.0,minutes,12.5,16,none,M. Kruger-Johnsen ranks 16 within FCM for minutes played (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,120721,K. Mbabu,Participation,minutes_played,96.5733,minutes,82.5,1,team leading,K. Mbabu ranks 1 within FCM for minutes played (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,609108,O. Diao,Participation,minutes_played,96.5733,minutes,82.5,1,team leading,O. Diao ranks 1 within FCM for minutes played (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,477664,V. Lind,Participation,minutes_played,0.0,minutes,12.5,16,none,V. Lind ranks 16 within FCM for minutes played (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,477672,A. Simsir,Participation,minutes_played,64.0593,minutes,52.5,10,above team median,A. Simsir ranks 10 within FCM for minutes played (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,Participation,minutes_played,96.5733,minutes,82.5,1,team leading,E. Martinez ranks 1 within FCM for minutes played (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,204164,J. Andersson,Participation,minutes_played,96.5733,minutes,82.5,1,team leading,J. Andersson ranks 1 within FCM for minutes played (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,551144,Franculino Dju,Participation,minutes_played,86.0593,minutes,57.5,9,above team median,Franculino Dju ranks 9 within FCM for minutes played (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,96787,M. Elyounoussi,Participation,live_minutes,43.4507,minutes,67.5,7,above team median,M. Elyounoussi ranks 7 within FCK for live minutes (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,166965,L. Lerager,Participation,live_minutes,48.3013,minutes,85.0,1,team leading,L. Lerager ranks 1 within FCK for live minutes (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,535944,R. Huescas,Participation,live_minutes,6.392,minutes,30.0,14,around team median,R. Huescas ranks 14 within FCK for live minutes (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,114517,A. Cornelius,Participation,live_minutes,10.4647,minutes,40.0,12,around team median,A. Cornelius ranks 12 within FCK for live minutes (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,622714,Robert,Participation,live_minutes,0.0,minutes,10.0,17,none,Robert ranks 17 within FCK for live minutes (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,590186,V. Froholdt,Participation,live_minutes,10.4647,minutes,40.0,12,around team median,V. Froholdt ranks 12 within FCK for live minutes (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,232398,N. Trott,Participation,live_minutes,48.3013,minutes,85.0,1,team leading,N. Trott ranks 1 within FCK for live minutes (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,512627,G. Gocholeishvili,Participation,live_minutes,41.9093,minutes,60.0,8,above team median,G. Gocholeishvili ranks 8 within FCK for live minutes (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,68640,T. Delaney,Participation,live_minutes,48.3013,minutes,85.0,1,team leading,T. Delaney ranks 1 within FCK for live minutes (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,193228,K. Diks,Participation,live_minutes,48.3013,minutes,85.0,1,team leading,K. Diks ranks 1 within FCK for live minutes (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,546545,E. Achouri,Participation,live_minutes,37.8367,minutes,50.0,10,above team median,E. Achouri ranks 10 within FCK for live minutes (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,115918,R. Runarsson,Participation,live_minutes,0.0,minutes,10.0,17,none,R. Runarsson ranks 17 within FCK for live minutes (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,592864,O. Hojer,Participation,live_minutes,4.8507,minutes,22.5,16,low,O. Hojer ranks 16 within FCK for live minutes (low).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,590187,A. Chiakha,Participation,live_minutes,0.0,minutes,10.0,17,none,A. Chiakha ranks 17 within FCK for live minutes (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,572146,M. Garan'anga,Participation,live_minutes,0.0,minutes,10.0,17,none,M. Garan'anga ranks 17 within FCK for live minutes (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,475413,Gabriel Pereira,Participation,live_minutes,48.3013,minutes,85.0,1,team leading,Gabriel Pereira ranks 1 within FCK for live minutes (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,Participation,live_minutes,41.9093,minutes,60.0,8,above team median,P. Hatzidiakos ranks 8 within FCK for live minutes (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,111756,V. Claesson,Participation,live_minutes,6.392,minutes,30.0,14,around team median,V. Claesson ranks 14 within FCK for live minutes (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,433957,M. Mattsson,Participation,live_minutes,37.8367,minutes,50.0,10,above team median,M. Mattsson ranks 10 within FCK for live minutes (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,457214,G. Onugkha,Participation,live_minutes,48.3013,minutes,85.0,1,team leading,G. Onugkha ranks 1 within FCK for live minutes (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,533646,D. Osorio,Participation,live_minutes,46.2173,minutes,62.5,8,above team median,D. Osorio ranks 8 within FCM for live minutes (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,423651,E. Chilufya,Participation,live_minutes,14.7553,minutes,40.0,12,around team median,E. Chilufya ranks 12 within FCM for live minutes (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,430901,E. Olafsson,Participation,live_minutes,48.3013,minutes,82.5,1,team leading,E. Olafsson ranks 1 within FCM for live minutes (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,450048,K. Askildsen,Participation,live_minutes,0.0,minutes,12.5,16,none,K. Askildsen ranks 16 within FCM for live minutes (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,536679,P. Bravo,Participation,live_minutes,0.0,minutes,12.5,16,none,P. Bravo ranks 16 within FCM for live minutes (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,57513,J. Lossl,Participation,live_minutes,0.0,minutes,12.5,16,none,J. Lossl ranks 16 within FCM for live minutes (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,568423,V. Byskov,Participation,live_minutes,14.7553,minutes,40.0,12,around team median,V. Byskov ranks 12 within FCM for live minutes (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,553784,D. Castillo,Participation,live_minutes,5.052,minutes,32.5,14,around team median,D. Castillo ranks 14 within FCM for live minutes (around team median).
