match_id,team,opponent,period,minute_bin,metric_name,metric_value,metric_unit,zone,channel,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,10,danger_entries,14,count,,,high,FCK produced 14.00 danger entries in minute bin 10.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,10,threat,0.84,index,,,balanced,FCK produced 0.84 threat in minute bin 10.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,10,final_third_entries,8,count,,,high,FCK produced 8.00 final third entries in minute bin 10.,Executive Match Overview,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,10,attacking_third_actions,21,count,,,high,FCM produced 21.00 attacking third actions in minute bin 10.,Territory & Control,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,10,box_entries,7,count,,,high,FCM produced 7.00 box entries in minute bin 10.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,10,shots,0,count,,,low,FCM produced 0.00 shots in minute bin 10.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,10,danger_entries,10,count,,,high,FCM produced 10.00 danger entries in minute bin 10.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,10,threat,0.75,index,,,balanced,FCM produced 0.75 threat in minute bin 10.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,10,final_third_entries,5,count,,,high,FCM produced 5.00 final third entries in minute bin 10.,Executive Match Overview,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,15,attacking_third_actions,16,count,,,high,FCM produced 16.00 attacking third actions in minute bin 15.,Territory & Control,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,15,box_entries,5,count,,,high,FCM produced 5.00 box entries in minute bin 15.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,15,shots,2,count,,,moderate,FCM produced 2.00 shots in minute bin 15.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,15,danger_entries,5,count,,,high,FCM produced 5.00 danger entries in minute bin 15.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,15,threat,0.3092,index,,,limited,FCM produced 0.31 threat in minute bin 15.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,15,final_third_entries,2,count,,,moderate,FCM produced 2.00 final third entries in minute bin 15.,Executive Match Overview,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,15,attacking_third_actions,13,count,,,high,FCK produced 13.00 attacking third actions in minute bin 15.,Territory & Control,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,15,box_entries,6,count,,,high,FCK produced 6.00 box entries in minute bin 15.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,15,shots,0,count,,,low,FCK produced 0.00 shots in minute bin 15.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,15,danger_entries,9,count,,,high,FCK produced 9.00 danger entries in minute bin 15.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,15,threat,0.72,index,,,dominant,FCK produced 0.72 threat in minute bin 15.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,15,final_third_entries,4,count,,,high,FCK produced 4.00 final third entries in minute bin 15.,Executive Match Overview,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,20,attacking_third_actions,32,count,,,high,FCK produced 32.00 attacking third actions in minute bin 20.,Territory & Control,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,20,box_entries,11,count,,,high,FCK produced 11.00 box entries in minute bin 20.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,20,shots,2,count,,,moderate,FCK produced 2.00 shots in minute bin 20.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,20,danger_entries,15,count,,,high,FCK produced 15.00 danger entries in minute bin 20.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,20,threat,1.3614,index,,,dominant,FCK produced 1.36 threat in minute bin 20.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,20,final_third_entries,11,count,,,high,FCK produced 11.00 final third entries in minute bin 20.,Executive Match Overview,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,20,attacking_third_actions,25,count,,,high,FCM produced 25.00 attacking third actions in minute bin 20.,Territory & Control,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,20,box_entries,9,count,,,high,FCM produced 9.00 box entries in minute bin 20.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,20,shots,0,count,,,low,FCM produced 0.00 shots in minute bin 20.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,20,danger_entries,12,count,,,high,FCM produced 12.00 danger entries in minute bin 20.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,20,threat,0.74,index,,,limited,FCM produced 0.74 threat in minute bin 20.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,20,final_third_entries,8,count,,,high,FCM produced 8.00 final third entries in minute bin 20.,Executive Match Overview,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,25,attacking_third_actions,30,count,,,high,FCM produced 30.00 attacking third actions in minute bin 25.,Territory & Control,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,25,box_entries,8,count,,,high,FCM produced 8.00 box entries in minute bin 25.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,25,shots,2,count,,,moderate,FCM produced 2.00 shots in minute bin 25.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,25,danger_entries,11,count,,,high,FCM produced 11.00 danger entries in minute bin 25.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,25,threat,0.3698,index,,,limited,FCM produced 0.37 threat in minute bin 25.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,25,final_third_entries,4,count,,,high,FCM produced 4.00 final third entries in minute bin 25.,Executive Match Overview,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,25,attacking_third_actions,28,count,,,high,FCK produced 28.00 attacking third actions in minute bin 25.,Territory & Control,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,25,box_entries,30,count,,,high,FCK produced 30.00 box entries in minute bin 25.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,25,shots,2,count,,,moderate,FCK produced 2.00 shots in minute bin 25.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,25,danger_entries,42,count,,,high,FCK produced 42.00 danger entries in minute bin 25.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,25,threat,4.0448,index,,,dominant,FCK produced 4.04 threat in minute bin 25.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,25,final_third_entries,31,count,,,high,FCK produced 31.00 final third entries in minute bin 25.,Executive Match Overview,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,30,attacking_third_actions,8,count,,,high,FCK produced 8.00 attacking third actions in minute bin 30.,Territory & Control,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,30,box_entries,6,count,,,high,FCK produced 6.00 box entries in minute bin 30.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,30,shots,3,count,,,high,FCK produced 3.00 shots in minute bin 30.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,30,danger_entries,10,count,,,high,FCK produced 10.00 danger entries in minute bin 30.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,30,threat,2.87,index,,,dominant,FCK produced 2.87 threat in minute bin 30.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,30,final_third_entries,5,count,,,high,FCK produced 5.00 final third entries in minute bin 30.,Executive Match Overview,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,30,attacking_third_actions,13,count,,,high,FCM produced 13.00 attacking third actions in minute bin 30.,Territory & Control,dual-axis timeline,medium
