match_id,team,opponent,period,minute_bin,metric_name,metric_value,metric_unit,zone,channel,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,1,,final_third_entries,58,count,,,,FCM period 1: final third entries = 58.00.,Executive Match Overview,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,1,,box_entries,75,count,,,,FCM period 1: box entries = 75.00.,Chance Creation & Final Third,grouped bar chart,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,1,,average_action_height,-2.1432,meters,,,,FCM period 1: average action height = -2.14.,Territory & Control,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,1,,progressive_passes,12,count,,,,FCM period 1: progressive passes = 12.00.,Territory & Control,grouped bar chart,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,1,,progressive_carries,3,count,,,,FCM period 1: progressive carries = 3.00.,Territory & Control,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,1,,vertical_distance_gained,3374.45,meters,,,,FCM period 1: vertical distance gained = 3374.45.,Territory & Control,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,1,,final_third_passes,31,count,,,,FCM period 1: final third passes = 31.00.,Executive Match Overview,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,1,,completed_final_third_entries,17,count,,,,FCM period 1: completed final third entries = 17.00.,Executive Match Overview,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,1,,directness_index,0.2548,count,,,,FCM period 1: directness index = 0.25.,Territory & Control,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,1,,avg_sequence_length,11.3,count,,,,FCM period 1: avg sequence length = 11.30.,Territory & Control,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,1,,shots,15,count,,,,FCM period 1: shots = 15.00.,Chance Creation & Final Third,grouped bar chart,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,1,,shots_on_target,3,count,,,,FCM period 1: shots on target = 3.00.,Chance Creation & Final Third,grouped bar chart,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,1,,shots_from_box,0,count,,,,FCM period 1: shots from box = 0.00.,Chance Creation & Final Third,grouped bar chart,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,1,,key_passes,0,count,,,,FCM period 1: key passes = 0.00.,Chance Creation & Final Third,grouped bar chart,medium
