match_id,team,player_id,player_name,primary_profile,secondary_profile,strengths,risks,staff_note
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,96787,M. Elyounoussi,Progression hub,Final-third connector,threat contribution; recoveries; shots; involvement share,loss risk per action; dangerous losses; central losses,"M. Elyounoussi profiles as progression hub. Monitor loss risk per action, dangerous losses."
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,166965,L. Lerager,Defensive ball-winner,Transition outlet,recoveries,no standout risk flag,L. Lerager profiles as defensive ball-winner.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,535944,R. Huescas,Progression hub,Transition outlet,balanced contribution,loss risk per action,R. Huescas profiles as progression hub. Monitor loss risk per action.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,114517,A. Cornelius,Final-third connector,High-risk creator,balanced contribution,no standout risk flag,A. Cornelius profiles as final-third connector.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,622714,Robert,Balanced role,,balanced contribution,no standout risk flag,Robert profiles as balanced role.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,590186,V. Froholdt,Final-third connector,Box threat,balanced contribution,no standout risk flag,V. Froholdt profiles as final-third connector.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,232398,N. Trott,Defensive ball-winner,,progressive passes; recoveries,no standout risk flag,N. Trott profiles as defensive ball-winner.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,512627,G. Gocholeishvili,Defensive ball-winner,Progression hub,progressive passes; recoveries; involvement share,dangerous losses; central losses,"G. Gocholeishvili profiles as defensive ball-winner. Monitor dangerous losses, central losses."
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,68640,T. Delaney,Final-third connector,Defensive ball-winner,progressive passes; recoveries,no standout risk flag,T. Delaney profiles as final-third connector.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,193228,K. Diks,Box threat,Progression hub,progressive passes; threat contribution; shots; involvement share,no standout risk flag,K. Diks profiles as box threat.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,546545,E. Achouri,Defensive ball-winner,Progression hub,threat contribution,loss risk per action; dangerous losses; central losses,"E. Achouri profiles as defensive ball-winner. Monitor loss risk per action, dangerous losses."
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,115918,R. Runarsson,Balanced role,,balanced contribution,no standout risk flag,R. Runarsson profiles as balanced role.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,592864,O. Hojer,Box threat,Final-third connector,shots,loss risk per action; central losses,"O. Hojer profiles as box threat. Monitor loss risk per action, central losses."
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,590187,A. Chiakha,Balanced role,,balanced contribution,no standout risk flag,A. Chiakha profiles as balanced role.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,572146,M. Garan'anga,Balanced role,,balanced contribution,no standout risk flag,M. Garan'anga profiles as balanced role.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,475413,Gabriel Pereira,Progression hub,Defensive ball-winner,progressive passes; recoveries; involvement share,no standout risk flag,Gabriel Pereira profiles as progression hub.
