match_id,team,player_id,player_name,metric_name,metric_value,metric_unit,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level,confidence_level
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,115918,R. Runarsson,minutes_played,0,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,115918,R. Runarsson,live_minutes,0,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,115918,R. Runarsson,distance_covered_m,0,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,115918,R. Runarsson,high_speed_distance_m,0,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,115918,R. Runarsson,sprint_distance_m,0,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,115918,R. Runarsson,max_speed_kmh,0,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,115918,R. Runarsson,avg_speed_kmh,0,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,120721,K. Mbabu,minutes_played,96.5733,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,120721,K. Mbabu,live_minutes,48.3013,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,120721,K. Mbabu,distance_covered_m,7011.1568,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,120721,K. Mbabu,high_speed_distance_m,936.8676,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,120721,K. Mbabu,sprint_distance_m,203.1712,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,120721,K. Mbabu,max_speed_kmh,29.844,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,120721,K. Mbabu,avg_speed_kmh,8.7091,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,166965,L. Lerager,minutes_played,96.5733,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,166965,L. Lerager,live_minutes,48.3013,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,166965,L. Lerager,distance_covered_m,7650.6036,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,166965,L. Lerager,high_speed_distance_m,729.2364,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,166965,L. Lerager,sprint_distance_m,224.8596,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,166965,L. Lerager,max_speed_kmh,30.6,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,166965,L. Lerager,avg_speed_kmh,9.5036,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,193228,K. Diks,minutes_played,96.5733,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,193228,K. Diks,live_minutes,48.3013,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,193228,K. Diks,distance_covered_m,6812.5768,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,193228,K. Diks,high_speed_distance_m,665.6736,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,193228,K. Diks,sprint_distance_m,167.8444,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,193228,K. Diks,max_speed_kmh,29.448,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,193228,K. Diks,avg_speed_kmh,8.4625,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,204164,J. Andersson,minutes_played,96.5733,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,204164,J. Andersson,live_minutes,48.3013,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,204164,J. Andersson,distance_covered_m,7438.5288,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,204164,J. Andersson,high_speed_distance_m,1016.7444,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,204164,J. Andersson,sprint_distance_m,223.9364,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,204164,J. Andersson,max_speed_kmh,30.636,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,204164,J. Andersson,avg_speed_kmh,9.2401,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,minutes_played,83.8993,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,live_minutes,41.9093,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,distance_covered_m,5840.7948,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,high_speed_distance_m,402.9904,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,sprint_distance_m,82.4744,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
